mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-09T00:08:51.000Z,0,0.0216,2.6944,9.7143,Infinity,Infinity,Infinity
,,1128.125,0.0575,0.1653,0.0575,0.0081,0.0233,0.0081
,,1131.25,0.1006,0.1365,0.0431,0.0142,0.0192,0.0061
,,1134.375,0.0503,0.0503,0.0216,0.0071,0.0071,0.003
,,1137.5,0.0934,0.0479,0.0647,0.0131,0.0067,0.0091
,,1140.625,0.1198,0.0599,0.0551,0.0167,0.0084,0.0077
,,1143.75,0.1533,0.1868,0.0647,0.0213,0.026,0.009
,,1146.875,0.091,0.1006,0.0287,0.0126,0.014,0.004
,,1150,0.0479,0.079,0.0742,0.0066,0.0109,0.0103
,,1153.125,0.1221,0.206,0.0407,0.0169,0.0284,0.0056
,,1156.25,0.1078,0.1916,0.0623,0.0148,0.0264,0.0086
,,1159.375,0.0623,0.0934,0.0144,0.0086,0.0128,0.002
,,1162.5,0.0575,0.0479,0.0599,0.0079,0.0066,0.0082
,,1165.625,0.0479,0.0335,0.0551,0.0065,0.0046,0.0075
,,1168.75,0.0431,0.0479,0.0719,0.0059,0.0065,0.0098
,,1171.875,0.0431,0.1269,0.0168,0.0059,0.0172,0.0023
,,1175,0.0479,0.0263,0.0263,0.0065,0.0036,0.0036
,,1178.125,0.0647,0.103,0.0479,0.0087,0.0139,0.0065
,,1181.25,0.0311,0.0647,0.0407,0.0042,0.0087,0.0055
,,1184.375,0.0551,0.1677,0.1102,0.0074,0.0225,0.0148
