mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000004,2022-04-27T03:27:07.000Z,0,3.8848,NaN,8.924,Infinity,NaN,Infinity
,,478.125,0.0431,0.0216,0.0263,0.0143,0.0072,0.0088
,,479.6875,0.0431,0.0479,0.012,0.0143,0.0159,0.004
,,481.25,0.0527,0.0479,0.024,0.0174,0.0158,0.0079
,,482.8125,NaN,0.024,0.0216,NaN,0.0079,0.0071
,,484.375,NaN,0.012,0.0072,NaN,0.0039,0.0024
,,485.9375,NaN,0.0862,0.0287,NaN,0.0282,0.0094
,,487.5,NaN,0.0263,0.0216,NaN,0.0086,0.0071
,,489.0625,NaN,0.0263,0.0479,NaN,0.0086,0.0156
,,490.625,NaN,0.0263,0.0407,NaN,0.0085,0.0132
,,492.1875,NaN,0.0263,0.0072,NaN,0.0085,0.0023
,,493.75,NaN,0.0311,0.0072,NaN,0.01,0.0023
,,495.3125,NaN,0.024,0.0216,NaN,0.0077,0.0069
,,496.875,NaN,0.0144,0.0263,NaN,0.0046,0.0084
,,498.4375,NaN,0.0192,0.0335,NaN,0.0061,0.0107
,,500,NaN,0.0335,0,NaN,0.0107,0
,,501.5625,NaN,0,0,NaN,0,0
,,503.125,NaN,0.0072,0.024,NaN,0.0023,0.0076
,,504.6875,NaN,0.0168,0.0263,NaN,0.0053,0.0083
,,506.25,NaN,0.012,0.0383,NaN,0.0038,0.012
,,507.8125,NaN,0.0168,0.0359,NaN,0.0053,0.0113
,,509.375,NaN,0.0192,0.0263,NaN,0.006,0.0082
,,510.9375,NaN,0.0168,0.0335,NaN,0.0052,0.0104
,,512.5,NaN,0.0192,0.0216,NaN,0.006,0.0067
,,514.0625,NaN,0.0168,0.0144,NaN,0.0052,0.0045
,,515.625,NaN,0.024,0.0263,NaN,0.0074,0.0081
,,517.1875,NaN,0.0168,0.0359,NaN,0.0052,0.011
,,518.75,NaN,0.0168,0.0072,NaN,0.0052,0.0022
,,520.3125,NaN,0.0144,0,NaN,0.0044,0
,,521.875,NaN,0.0335,0.0144,NaN,0.0102,0.0044
,,523.4375,NaN,0.0072,0.0144,NaN,0.0022,0.0044
,,525,NaN,0.0072,0.0192,NaN,0.0022,0.0058
,,526.5625,NaN,0.0048,0.0263,NaN,0.0015,0.0079
,,528.125,NaN,0.0192,0.012,NaN,0.0058,0.0036
,,529.6875,NaN,0.0192,0.012,NaN,0.0058,0.0036
,,531.25,NaN,0.0072,0.0072,NaN,0.0022,0.0022
,,532.8125,NaN,0.0072,0.0287,NaN,0.0022,0.0086
,,534.375,NaN,0.0192,0.0048,NaN,0.0057,0.0014
,,535.9375,0,0.0144,0.012,0,0.0043,0.0036
,,537.5,0.0263,0.0048,0.0144,0.0078,0.0014,0.0043
,,539.0625,0.012,0.012,0.012,0.0035,0.0035,0.0035
,,540.625,0.0431,0.0216,0.0144,0.0127,0.0064,0.0042
,,542.1875,0.0168,0,0.0144,0.0049,0,0.0042
,,543.75,0.0168,0.0144,0.0048,0.0049,0.0042,0.0014
,,545.3125,0.0335,0,0.0144,0.0098,0,0.0042
,,546.875,0.0216,0.0144,0.0144,0.0063,0.0042,0.0042
,,548.4375,0.0216,0.024,0.0072,0.0063,0.007,0.0021
,,550,0.0144,0.0072,NaN,0.0042,0.0021,NaN
,,551.5625,0.0431,0.0168,NaN,0.0124,0.0048,NaN
,,553.125,0.0192,0.0048,NaN,0.0055,0.0014,NaN
,,554.6875,0.0168,0.0072,NaN,0.0048,0.0021,NaN
,,556.25,0.0287,0.0263,NaN,0.0082,0.0075,NaN
,,557.8125,0.0599,0.0431,NaN,0.0171,0.0123,NaN
,,559.375,0.0168,0.024,NaN,0.0048,0.0068,NaN
,,560.9375,0.0335,0.0144,NaN,0.0095,0.0041,NaN
,,562.5,0.0479,0.0287,NaN,0.0136,0.0081,NaN
,,564.0625,0.024,0.0144,NaN,0.0068,0.0041,NaN
,,565.625,0.0072,0.0168,NaN,0.002,0.0047,NaN
,,567.1875,0.024,0.0072,NaN,0.0067,0.002,NaN
,,568.75,0.0168,0.0072,0.0144,0.0047,0.002,0.004
,,570.3125,0.0144,0.012,0.0144,0.004,0.0033,0.004
,,571.875,0.0335,0.0216,0.012,0.0093,0.006,0.0033
,,573.4375,0,0.0359,0.0072,0,0.01,0.002
,,575,0.012,0,0.0168,0.0033,0,0.0047
,,576.5625,0.0263,0.0168,0.0144,0.0073,0.0046,0.004
,,578.125,0.0192,0.0144,0.0048,0.0053,0.004,0.0013
,,579.6875,0.0168,0.0144,0.012,0.0046,0.004,0.0033
,,581.25,0.0144,0.024,0,0.0039,0.0066,0
,,582.8125,0.0287,0.0263,0.0072,0.0078,0.0072,0.002
,,584.375,0.0287,0.0216,0.0048,0.0078,0.0059,0.0013
,,585.9375,0.0263,0,0.0048,0.0071,0,0.0013
,,587.5,0.0263,0.0144,0.0072,0.0071,0.0039,0.002
,,589.0625,0.024,0.0072,0.0144,0.0065,0.0019,0.0039
,,590.625,NaN,0.0192,0.012,NaN,0.0052,0.0032
,,592.1875,NaN,0.0407,0.0072,NaN,0.0109,0.0019
,,593.75,NaN,0.0263,0,NaN,0.007,0
,,595.3125,NaN,0.024,0,NaN,0.0064,0
,,596.875,NaN,0.0287,0.0048,NaN,0.0077,0.0013
,,598.4375,NaN,0.0144,0.012,NaN,0.0038,0.0032
,,600,NaN,0.0072,0.0072,NaN,0.0019,0.0019
,,601.5625,NaN,0.0048,0.012,NaN,0.0013,0.0032
,,603.125,NaN,0.0359,0.0144,NaN,0.0095,0.0038
,,604.6875,NaN,0.0144,0.0144,NaN,0.0038,0.0038
,,606.25,NaN,0.0192,0.0216,NaN,0.005,0.0057
