mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-07T03:09:01.000Z,0,0.1269,2.8477,9.7024,Infinity,Infinity,Infinity
,,1131.25,0.0503,0.17,0.103,0.0071,0.0239,0.0145
,,1134.375,0.0048,0.0982,0.0527,0.0007,0.0138,0.0074
,,1137.5,0.0431,0.1102,0.0287,0.006,0.0154,0.004
,,1140.625,0.0719,0.2036,0.0144,0.01,0.0284,0.002
,,1143.75,0.0216,0.0958,0.0287,0.003,0.0133,0.004
,,1146.875,0.1054,0.1389,0.0263,0.0146,0.0193,0.0036
,,1150,0.1102,0.2203,0.0551,0.0153,0.0305,0.0076
,,1153.125,0.0431,0.1293,0.0886,0.0059,0.0178,0.0122
,,1156.25,0.0192,0.1102,0.0838,0.0026,0.0152,0.0115
,,1159.375,0.0383,0.0982,0.0263,0.0053,0.0135,0.0036
,,1162.5,0.0144,0.0575,0.0527,0.002,0.0079,0.0072
,,1165.625,0.0335,0.0958,0.1245,0.0046,0.0131,0.017
,,1168.75,0.0647,0.0527,0.0479,0.0088,0.0072,0.0065
,,1171.875,0.1365,0.1245,0.0671,0.0185,0.0169,0.0091
,,1175,0.1102,0.1916,0.0719,0.0149,0.026,0.0097
,,1178.125,0.091,0.1006,0.0551,0.0123,0.0136,0.0074
,,1181.25,0.0503,0.0359,0.0814,0.0068,0.0048,0.011
,,1184.375,0.0072,0.0766,0.0431,0.001,0.0103,0.0058
,,1187.5,0.0527,0.0383,0.0263,0.0071,0.0051,0.0035
,,1190.625,0.079,0.0814,0.0982,0.0106,0.0109,0.0131
